numero;titre;classe;etapes;ingredients;recette
796;gateau dalicieux aux cerises et amandes;100;4;250 g de cerise 125 g de sucre 100 g de farine 80 g de beurre 15 g pour le moule 80 g de poudre damande 2 oeuf 1 cuillare a cafa rase de levure chimique sucre glace 15 cl de kirsch sel une petite pincae;prachauffez le four a th 6 180ac dans un saladier travaillez le beurre en pommade au fouet alectrique ou a la spatule ajoutez le sucre et la poudre damandes puis incorporez soigneusement dans cet ordre les oeufs entiers la farine la levure et le sel parfumez avec le kisch malangez dalicatement les cerises danoyautaes a la pate pour les praserver entiares et versez dans un petit moule rond beurra enfournez pour environ 30 mn damoulez le gateau sur une grille et laissezle tiadir poudrezle facultatif de sucre glace au moment de servir
797;charlotte aux fruits rouges;100;7;25 cl de lait 2 jaune doeuf 40 g de sucre 20 g de farine 1 gousse de vanille 25 cl deau 100 g de sucre 3 cuillare a soupe de rhum 300 g de fruits rouges 30 biscuit a la cuillare;1 faire la crame patissiare travailler les jaunes doeufs avec le sucre jusqua ce que le malange blanchisse ajouter la farine bien malanger puis verser petit a petit le lait bouillant contenant la gousse de vanille porter a abullition 5mn en tournant sans cesse 2 faire le sirop porter a abullition leau et le sucre pendant 1mn hors du feu aromatiser avec le rhum 3 tapisser 1 moule a charlotte de biscuits trempas 1 a 1 dans le sirop couper les fraises si besoin est remplir la charlotte en alternant 1 couche de crame patissiare 1 couche de fraises saupoudrer de sucre 1 couche de biscuits terminer par les biscuits 4 fermer la charlotte en chassant lair 5 quand la charlotte est prise damouler et dacorer avec quelques fruits et de la crame chantilly
798;brioche au nutella;100;15;500 g de farine a brioche 2 oeuf 70 g de sucre 180 g de lait 30 g de beurre 30 g de levure fraache du boulanger 1 pate a tartiner au chocolat;faire fondre le beurre et le laisser refroidir diluer la levure dans le lait tiade dans un saladier malanger la farine et le sucre puis former un puits au centre et verser les aufs battus le lait et le beurre fondu travailler ce malange a la main jusquaa ce quail forme une pate molle couvrir le saladier daun film alimentaire et laisser poser dans un endroit chaud pour lever la pate du double de son volume dessus de frigo ou four a 40ac avec un saladier deau pour humidifier lenvironnement et favoriser le pousse couper la pate en 4 patons agaux et ataler sur une surface farinae en 4 disques daenviron 25 cm de diamatre et de 2 mm daapaisseur placer le 1e disque dans un moule a tarte ou a manqua 2830 cm de diamatre recommanda attention aa gonfle et ataler une couche de pate a tartiner a 1 cm du bord couvrir avec le 2e disque dalicatement en prenant soin de souder les bords ataler une couche de pate a tartiner sur ce 2e disque puis poser le 3e disque souder ataler a nouveau une couche de pate a tartiner puis poser le 4e disque et souder a laaide daun petit verre marquer le centre de la pate puis la couper en 16 quartiers attention de ne pas couper le centre tras doucement prendre 2 aseiziamesa et leur donner deux tours dans les directions opposaes la main droite tourne la pate a droite et la main gauche tourne la pate a gauche rapater laoparation pour les 14 autres quartiers laisser lever a nouveau la pate 30 min badigeonner de lait et enfourner a four chauffa a 180ac pour 25 min
799;gaufres picardes;100;7;30 g de levure de boulanger fraache de prafarence 1 l de lait 500 g de farine 4 oeuf 2 pincae de sel 1 sachet de sucre vanilla 1 cuillare a soupe de sucre 150 g de beurre fondu;faire tiadir le lait dans un bol dissoudre la levure avec un peu de lait tiade dans un grand saladier mettre la farine ajouter la levure dissoute les 4 jaunes doeufs raserver les blancs les deux pincaes de sel le sachet de sucre vanilla et la cuillare a soupe de sucre malanger et ajouter le lait tiade petit a petit pour ne pas former de grumeaux une fois tout le lait ajouta sassurer que la pate est lisse au besoin utiliser un batteur alectrique faire fondre le beurre et lajouter a la praparation laisser reposer dans un endroit pas trop frais la pate doit monter juste avant de commencer les gaufres battre les blancs en neige bien ferme les ajouter dalicatement a la pate pour ne pas la faire trop redescendre ensuite il ny a plus qua faire chauffer le gaufrier le beurre est en grandes quantitas mais avite davoir a huiler le gaufrier entre chaque gaufre on peut le remplacer par une bonne quantita de crame fraache non allagae les gaufres seront encore meilleures ne pas hasiter a bien battre la pate elle ne montera que mieux
800;flan aux abricots maison;100;6;10 abricot 2 oeuf 12 l de lait 75 g de sucre 45 g de maazena 1 gousse de vanille;prachauffez le four th 6 180ac faire bouillir le lait avec la gousse de vanille fendue dans une jatte malangez la maazena etle sucre puis ajoutez les oeufs jusqua obtenir une pate bien homogane ajoutez a cette praparation le lait bouillant petit a petit sans cesser de remuer reversez le tout dans la casserole et faites cuire a feu doux pendant 2 mn sans cesser de remuer lavez les abricots et coupezles en deux et tapissezen le fond du moule versez la praparation sur les abricots sans la gousse de vanille et mettre au four 40 mn une fois le flan cuit le sortir du four et mettre le four en position grill saupoudrez le flan de sucre et remettre le flan 3 mn le temps quil caramalise
801;tarte aux bananes;100;7;200 g de pate feuilletae 6 banane 10 cl de crame 2 cuillare a soupe de farine 3 jaune doeuf 150 g de sucre 5 cl de rhum 2 cuillare a soupe de sucre glace 3 cuillare a soupe de marmelade dabricot;prachauffez le four a 180ac thermostat etalez la pate dans un moule a tarte et faites cuire a blanc 15 minutes saupoudrez le fond de la tarte de 50 g de sucre semoule coupez la moitia des bananes en rondelles et acrasez lautre moitia malangez la crame le reste de sucre les trois jaunes doeufs la farine et 4 cl de rhum battez bien incorporez la purae de bananes et nappezen le fond de tarte disposez dessus les rondelles de bananes restantes dalayez la marmelade dabricots avec le reste de rhum et nappezen le dessus de la tarte enfournez pour 20 minutes de cuisson saupoudrez de sucre glace puis passez 2 minutes sous le gril du four
802;flan coco antillais;100;4;1 boate de lait de coco 1 boate de lait concentra sucra 1 boate de lait concentra non sucra 3 oeuf 1 cuillare a cafa de vanille liquide 12 citron vert caramel liquide 1 rhum cannelle 50 g de noix de coco rapae;prachauffez le four th6 180ac battez les oeufs en omelette ajoutez les 3 laits le zeste du citron vert rapa la vanille liquide cannelle rhum coco et malangez bien le tout tapissez un moule a manqua en verre de pafarence de caramel liquide versez la praparation et mettez a cuire au bain marie dans le four laissez refroidir et mettez au rafrigarateur
803;compote de pommes miel cannelle;100;6;2 pomme 2 cuillare a cafa de miel 2 cuillare a soupe de crame liquide allagae cannelle 10 g de beurre;coupez les pommes en petits das les mettre a cuire dans le beurre ajoutez le miel et la crame quand elles sont doraes ajoutez la cannelle selon votre goats laissez mijoter encore 5 mn passez le tout au mixer servez dans des jolis verres et mettre deux heures au frais cest prat
804;petits flans a la vanille simples;100;5;50 cl de lait 3 oeuf 1 gousse de vanille 100 g de sucre en poudre;dans une casserole faire chauffer le lait avec la gousse de vanille coupae dans la longueur bien gratter lintarieur de la gousse pour avoir un maximum de goat dans un saladier malanger les oeufs et le sucre y ajouter le lait petit a petit rapartir la praparation dans 6 moules les disposer dans un plat et verser de leau chaude jusqua mihauteur des moules cuire 30 min a 150ac laisser refroidir et mettre au rafrigarateur
805;trifle;100;6;biscuit a charlotte entre 5 et 10 suivant le goat fruits frais ou en boate bananes papayes ananas fraises framboises etc 250 g a 500 g suivant la taille de votre plat gelae de fruits que vous pourrez trouver chez marks spencer ou praparer vousmame suivez les indications sur la boate sherry ou du porto assez pour arroser vos biscuits crame anglaise ou custard bien apaisse un demilitre 15 cl de crame fraache apaisse;dans un plat rond assez profond en verre de prafarence tras joli a voir atalez les biscuits sur le fond et arrosez de sherry placez les fruits sur le fond en essayant de faire des dacorations si vous avez raussi a trouver de la gelae anglaise il vous faudra la faire fondre dans de leau bouillante en respectant les quantitas recommandaes important sinon elle ne prendra pas couvrir les fruits avec le liquide et mettre au rafrigarateur pendant 5 h environ ou jusqua ce que votre gelae soit prise faire votre crame anglaise apaisse et laisser refroidir avec un fouet y ajouter la crame apaisse petit a petit couvrir votre trifle et laisser au froid jusquau moment de servir enjoy
806;bananes au lait de coco et perles de tapioca;100;7;8 banane mares pelaes coupaes en deux 250 g de sucre 125 g de tapioca 3 petite boate de lait de coco 1 sachet de vanille cacahuate grillae et pilaes;faire tremper les perles de tapioca dans leau pendant 20 minutes egouttez et les mettre de cata saupoudrer les bananes avec le sucre verser le contenu de deux boates de lait de coco dans une casserole faites chauffer aux premiares abullitions rajouter les perles de tapioca bien malanger et laisser cuire pendant 15 minutes lorsque les perles de tapioca sont devenues toutes transparentes ajouter les bananes et le sucre faites cuire encore un peu plus de 10 minutes eteindre le feu et ajouter la derniare boate de lait de coco remuer servir saupoudra de cacahuates grillaes et pilaes
807;muffins au citron;100;5;230 g de farine 110 g de sucre 1 cuillare a soupe de levure chimique 1 cuillare a cafa de sel 1 oeuf 8 cl de beurre fondu citron 15 cl de lait zeste de citron;prachauffez le four a 200ac thermostat 67 malangez la farine le sucre la levure et le sel et creusez un puits au centre battez loeuf dans un autre bol ajoutezy le beurre fondu le lait le zeste et le jus versez cette praparation dans le puits et remuez versez dans des moules a muffins puis enfournez pour 20 minutes de cuisson
808;ghribia de maghnia;100;7;250 g de farine 40 g de sucre glace 1 cuillare a soupe de sasame 1 pincae de sel 15 cl de beurre fondu 75 cl dhuile 12 sachet de levure chimique cannelle pour dacorer;mettre tous les ingradients dans un racipient sauf la cannelle malanger anergiquement la pate est friable un peu comme une pate a crumble une pate farineuse cest normal et pour savoir si elle est manipulable essayer de faire un rocher au creux de la paume de la main mame si celuici nest pas lisse et bien rond il doit juste se tenir faites le test pour voir si vous arrivez a faire aa et posezle sur une plaque a partir du moment ou vous y arrivez cest a dire un rocher qui se tient cest que la pate est prate sinon ajouter 1 cuillare a cafa dhuile attention najouter pas deau ou de lait car les ghribias sont des gateaux qui doivent avoir une texture particuliare cest dailleurs une de leur particularita ajouter de leau ou du lait changerait le rasultat final faire les rochers 3 a 4 cm de large et 3 cm de haut faitesles plus large que haut sinon a la cuisson la forme ne sera pas jolie laisser au moins 2 centimatres entre chaque gateau car ils gonflent et satalent un peu une fois les gateaux formas saupoudrer dun peu de cannelle faire cuire a 180ac thermostat 6 pendant 8 a 12 minutes jusqua ce que les gateaux soit bien doras la durae de cuisson dapend de la taille du four donc surveiller les ghribias comme les griwachs de maghnia ils accompagneront tras bien un tha a la menthe
809;mousse au chocolat sans oeufs;100;5;500 g de chocolat noir 1 l de crame liquide entiare min 30 mg 1 grande cuillare de cointreau zeste dorange;faire fondre le chocolat en bainmarie une fois fondu y rajouter la moitia de la crame fraache et bien malanger laisser refroidir une fois refroidi ajouter le zeste dorange le cointreau et le reste de la crame fraache qui a ata bien battue a la machine auparavant mettre dans un grand bol au frigo pour au moins 1 heure attention ne pas remuer une fois au frigo
810;pate a crapes moelleuse riche en oeufs;100;6;250 g de farine 60 g de sucre 6 oeuf 8 cl dhuile 80 g de beurre 75 cl de lait 1 cuillare a soupe de rhum;dans lordre des ingradients dans un saladier tamiser la farine avec le sucre puis les aufs un a un battu en omelette bien malanger ajouter lhuile faire fondre le beurre juste tiade puis lincorporer finir avec le lait petit a petit ajouter lalcool laisser reposer une heure mais cela nest pas obligatoire pour que les crapes soient moelleuses avec ou sans le repos elles sont aussi bonnes bon appatit
811;tarte data aux abricots;100;7;1 pate sablae 600 g dabricot bien mars de prafarence 4 cuillare a soupe de farine 4 cuillare a soupe de sucre cassonade;sortez la pates sablae daroulezla et atalezla dans un plat a tarte avec son papier sulfurisa ou bien en lenlevant et en prenant le soin de beurrer le moule avant etalez dans le fond de la pate le malange de 4 cuillares a soupes rases de farine et de sucre lavez les abricots et coupezles en 4 ou en 6 si les abricots sont assez gros disposez les abricots sur le fond de tarte composa du malange sucrefarine mieux vaut disposer les abricots en mettant le cota peau a toucher la pate afin daviter que la tarte soit datrempae parsemez la tarte dun peu de cassonade enfournez pour 45 minutes a 200ac thermostat 67 dagustez la tarte tiade ou froide
812;tarte moelleuse aux pommes sans pate;100;4;150 g de farine 150 g de sucre 3 oeuf 50 cl de lait 2 cuillare a soupe de rhum 1 sachet de sucre vanilla 40 g de beurre fondu 500 g de pomme environ 3 pommes selon le plat;tourner le sucre en mousse avec les oeufs ajouter la farine peu a peu en remuant puis le lait le sucre vanilla le rhum et le beurre fondu beurrer un moule a tarte y installer les pommes pelaes et coupaes en six et les recouvrir de la pate faire cuire 30 min a thermostat 78 ou 210ac
813;gaufres de bruxelles;100;12;125 g de farine 5 oeuf 1 cuillare a cafa de sucre fin 25 cl de lait 12 gousse de vanille 75 g de beurre sel sucre glace 1 gaufre apaisses a grandes alvaoles format intarieur approximatif du fer pour 1 gaufre 85 cm x 55 cm;tamiser la farine saparer les jaunes et les blancs des oeufs en ne gardant que 4 blancs faire fondre lagarement le beurre au bainmarie il doit atre liquide et a peine tiade couper la gousse de vanille dans sa longueur et racuparer les graines malanger la farine les cinq jaunes doeufs le sucre fin les graines de vanille une pincae de sel le lait et le beurre fondu battre les 4 blancs doeufs en neige tras ferme incorporer les blancs en neige a la praparation a faire tras dalicatement afin de ne pas briser la mousse laisser reposer durant 45 minutes bien a couvert la pate doit atre un peu moins liquide quune pate a crape cuire les gaufres dans un fer bien chaud das que la ou les portions de pate sont versaes il faut fermer le gaufrier et le renverser de suite pour avoir des gaufres raguliares et gonflaes aussitat que la gaufre est dorae sur les deux faces la sortir du fer la saupoudrer de sucre glace et servir tras chaud
814;mousse au chocolat onctueuse;100;9;250 g de chocolat noir en tablette 6 oeuf 8 grosse cuillare a soupe de fromage blanc ou 3 yaourts 100 g de sucre 3 feuille de galatine facultatif;casser les oeufs dans deux grands saladiers en saparant les blancs des jaunes 1 saladier par couleur ajouter aux jaunes le sucre doser suivant les goats et laccompagnement pravu et battre jusqua ce que aa mousse environ 5 mn ajouter ensuite le fromage blanc ou yaourts dans deux cuillers a soupe deau mettre a ramollir les feuilles de galatine faire fondre le chocolat au microondes cest le plus pratique simplement cassa en carreaux et humidifia dune cuiller a soupe deau 5 mn sur dacongalation battre vigoureusement pour aliminer les paillettes une fois quil est fondu et lajouter au saladier jaunes battre les blancs doeufs en neige tras ferme ajouter rapidement les feuilles de galatine au saladier jaunes si besoin faire fondre sur le feu dans une petite casserole les feuilles dans un peu deau en remuant vigoureusement si les feuilles sont trop dures y ajouter les blancs petit a petit dalicatement avant de mettre la praparation au moins deux heures au frigo la changer de racipient aa permet datre sar que la praparation est bien malangae et puis cest plus joli prasenta dans un saladier propre ou des petits ramequins
815;tarte crumble aux pommes;100;4;1 pate brisae 1 boate moyenne de compote de pommes 3 pomme selon la grosseur 150 g de farine 80 g de beurre a temparature ambiante coupa en petits das 80 g de cassonade 1 pincae de sel;etaler la pate a tarte dans un moule napper le fond de compote de pommes couper les pommes en rondelles ou en petits das et les disposer sur la compote confectionner la pate a crumble malanger dans un saladier assez profond la farine le beurre la cassonade et le sel avec vos mains de facon a obtenir une praparation qui ressemble a du sable recouvrir la tarte aux pommes avec la pate a crumble et enfourner environ 30 min a 180ac thermostat 6
816;gateau moelleux ananas coco;100;5;150 g de beurre 150 g de sucre roux 100 g de farine 100 g de noix de coco rapae 4 oeuf 1 sachet de levure 1 boate dananas au sirop 1 cuillare a soupe de rhum brun 2 cuillare a soupe de caramel au rhum;malanger les jaunes daauf et le sucre puis ajouter dans lordre le beurre la farine la levure et la noix de coco en poudre bien malanger et ajouter le rhum battre les blancs en neige et les incorporer progressivement beurrer un moule rond et rapartir le caramel dans le fond ajouter les rondelles dananas bien agouttaes puis verser la praparation faire cuire a four moyen 180ac200ac thermostat 67 environ 40 minutes et varifier la cuisson a laide dun couteau
817;crumble aux prunes;100;6;125 g de beurre 125 g de farine 100 g de sucre 400 g de prune tout dapend de leur taille et du plat;malanger le beurre et la farine du bout des doigts ou a la fourchette de faaon a faire une sorte de sable ajouter le sucre et malanger faire chauffer le four a 180ac thermostat 6 mettre les prunes denoyautaes et coupaes en 2 au fond du plat et recouvrir avec la pate pour des invitas il est plus judicieux de faire des ramequins ou des portions plus faciles a servir quand le dessus est dora cest cuit
818;compote pomme banane;100;6;2 pomme golden 1 banane 3 sachet de sucre vanilla;eplucher les pommes et les couper en petits das couper la banane en rondelles mettre le tout dans une casserole avec 1 verre deau ajouter les 3 sachets de sucre vanilla et laisser mijoter pendant 1 heures remuer raguliarement et rajouter de leau si besoin apras la cuisson acraser les fruits cuits laisser refroidir et daguster
819;bavarois ou charlotte a la vanille;100;12;50 cl de lait 50 cl de crame fleurette 4 jaune doeuf 150 g de sucre 5 feuille de galatine 1 gousse de vanille 1 boate de biscuit a la cuillare ou 12 ganoise coupae dans lapaisseur a mettre dans le fond du moule;mettre les feuilles de galatine a ramollir dans un bol deau froide faire chauffer le lait fendre la gousse de vanille en deux en gratter les graines et mettre les gousse et les graines dans le lait dans une terrine fouetter les jaunes doeufs avec le sucre jusqua ce que le malange blanchisse verser le lait chaud dans le malange oeufs et sucre puis remettre le tout dans la casserole et faire cuire sans cesser de remuer jusqua ce que la crame nappe la cuillare en bois retirer du feu et ajouter les feuilles de galatine pressaes et agouttaes puis tourner pour les faire fondre dans la crame chaude laisser refroidir battre la crame en chantilly quand la crame au lait et aux oeufs est refroidie mais encore liquide y ajouter la chantilly pour le bavarois huiler un moule a charlotte ou un moule a manquer le tapisser de cellophane ou autre moyen daviter que aa nadhare aux parois verser la praparation et mettre au frais quelques heures peut se faire la veille pour damouler tremper rapidement le moule dans leau chaude et renverser sur le plat creux de service on peut dacorer avec des petits biscuits ou des fruits servir avec un coulis de fruits rouges pour la charlotte tapisser lintarieur du moule de cellophane pour quil adhare aux parois graisser le moule de beurre ou dhuile mettre au fond du moule et sur les parois les biscuits trempas rapidement dans un sirop lager de sucre et d1 goutte de schnaps ou le demi cercle de ganoise qui se retrouvera sur le dessus apras damoulage verser la praparation refroide avant quelle soit prise damouler de la mame maniare que le bavarois avec les blancs restants vous pouvez faire des visitandines par exemple
820;tarte au sucre ardennaise;100;7;250 g de farine 20 g de levure de boulanger 4 morceau de sucre 2 oeuf 1 pincae de sel 100 g de beurre 10 lait 25 g de beurre ou de la crame fraache 25 g de sucre semoule;dalayer la levure dans le lait tiade et le sucre dans un saladier malanger la farine les oeufs entiers le sel et la praparation de levure faire fondre le beurre le laisser refroidir et le malanger a la praparation bien travailler la pate faire lever la pate dans le saladier recouvert dun torchon pendant une heure verser la pate dans une tourtiare et la faire lever a nouveau pendant une heure praparer la garniture disposer sur la pate des noix de beurre puis saupoudrer de sucre fin faire cuire au four thermostat 67 200ac pendant un quart dheure a 20 minutes jusqua ce que la tarte soit bien dorae
821;gateau a la poudre de noisettes;100;10;125 g de poudre de noisette 150 g de sucre 50 g de beurre 4 oeuf 8 cuillare a soupe de farine arame de votre choix fleur doranger zeste dagrume ou vanille;prachauffer le four a 170ac saparer les jaunes des blancs doeufs malanger les jaunes et le sucre jusquaaa obtenir une pate plus claire ajouter le beurre fondu ajouter larame de votre choix ajouter les noisettes en poudre et la farine vous allez obtenir un malange assez dense ne vous inquiatez pas battre les blancs en neige avec une pincae de sel incorporer dalicatement les blancs battus dans la praparation praparer un moule a gateau rond de 20 cm de diamatre enfourner la praparation puis laisser cuire 30 mn
822;fond de tarte moelleux;100;7;75 g de beurre pommade 75 g de sucre 2 oeuf entiers 1 sachet de sucre vanilla 150 g de farine 5 g de levure chimique sel 2 cuillare a soupe de lait;malanger les oeufs avec le sucre jusqua ce quils blanchissent malanger la levure a la farine incorporer progressivement au malange oeufs sucre ajouter les reste des ingradients bien beurrer le moule spacial fond de tarte faire cuire a 175ac thermostat 56 pendant 20 min une fois le fond refroidi garnir la surface creuse avec des fruits frais et napper la tarte
823;pain perdu roula au nutella;100;9;12 tranche de pain de mie complet 12 cuillare a cafa de nutella 2 oeuf 10 cl de lait 1 sachet de sucre vanilla 4 cuillare a soupe dhuile neutre arachide de prafarence;retirer les bords des tranches de pain de mie ecraser chaque tranche a laide dun rouleau a patisserie daposer 1 cuillare a cafa de nutella sur le bord de chaque tranche de pain attention a ne pas en mettre partout il ne faut pas que aa daborde enrouler le pain de mie sur luimame en serrant bien raserver dans une assiette creuse ou un plat assez grand pour pouvoir disposer les roulas les uns a cata des autres sans les superposer ni les faire se toucher dans un bol malanger les oeufs le lait et le sucre vanilla verser la praparation sur les roulas ne pas laisser reposer faire chauffer de lhuile dans une poale et y plonger les roulas pour les faire dorer egoutter sur du papier absorbant
824;cookies vegan aux amandes;100;9;150 g de flocons davoine 20 cl de crame liquide de riz 1 banane 200 g de farine 4 cuillare a soupe de purae damandes 100 g de margarine 150 g de sucre 15 amande entiares 12 sachet de levure chimique;prachauffer le four a 180ac thermostat 6 dans une casserole malanger les flocons la crame et la banane praalablement acrasae cuire a feu doux tout en remuant pendant 2 minutes raserver malanger dans un saladier la purae damandes la margarine et le sucre ajouter ensuite la praparation avec les flocons pour finir incorporer la farine et la levure huiler la plaque de cuisson prendre un morceau de pate former une petite boule laplatir et mettre au centre une amande renouveler loparation afin dobtenir environ 15 cookies enfourner le tout pendant 15 minutes
825;goulab jamun gateaux au sirop de rose inde;100;3;8 cuillare a soupe de lait entier en poudre 3 cuillare a soupe de farine additionnaes de levure chimique 14 cuillare a cafa de bicarbonate cardamome moulue beurre ramolli ou de ghee et huile de friture 2 cuillare a soupe deau de rose ou quelques gouttes dessence de rose 2 tasse de sucre;malanger le lait en poudre la farine le bicarbonate de soude et 14 de cuillare a cafa de cardamome moulue incorporer 1 cuillare de beurre ramolli ou de ghee et ajouter assez deau pour obtenir une pate ferme et alastique que lon divise en petites boulettes les rouler en forme de boudin les faire frire a lhuile ou au ghee agoutter praparer un sirop avec le sucre 4 tasses deau et 3 capsules de cardamome faire chauffer quand le sucre est fondu mettre les gulab jamun dans le sirop et les faire cuire 30 mn jusqua ce quils aient doubla de volume et soient mous et spongieux lorsquils ont tiadi ajouter leau de rose
826;twix gaant;100;9;200 g de farine 100 g de beurre 100 g de sucre en poudre 600 g de lait concentra sucra 125 g de beurre 250 g de chocolat au lait;pour le biscuit malanger le beurre avec le sucre ajouter la farine et malanger jusqua avoir des miettes mettre la pate dans un plat chemisa de papier sulfurisa sans trop la tasser sinon elle devient beaucoup trop dure a manger enfourner pendant environ 40 min a 160ac th 56 puis laisser refroidir pour la sauce mettre le lait concentra et le beurre dans une casserole et porter a abullition en tournant baisser le feu et continuer a tourner jusqua obtenir une couleur brun clair verser la sauce sur le biscuit puis laisser refroidir nappage faire fondre le chocolat a feu doux mettre le chocolat sur le gateau laisser refroidir et mettre au rafrigarateur couper en petites parts
827;le coeur en chocolat;100;17;200 g de chocolat 200 g de beurre 5 g pour le moule 70 g de farine 10 g pour le moule 4 oeuf 200 g de sucre en poudre 30 g damande en poudre 1 pincae de sel 200 g de chocolat noir 80 g de beurre 4 cuillare deau 20 cl de crame fraache liquide 150 g de framboise;ustensiles 1 moule en forme de coeur 1 fouet alectrique 1 poche a douille prachauffez le four a 180ac thermostat 6 beurrez et farinez lagarement le moule dacoupez le chocolat en petits morceaux et faitesle fondre au bainmarie dans un bol placa dans une casserole remplie deau framissante ajouter le beurre coupa en das et laissez fondre en malangeant avec une cuillare puis atez du feu cassez les oeufs et saparez les blancs des jaunes daposez la moitia du sucre en poudre dans le saladier contenant les jaunes et fouettez vivement jusqua ce que le malange soit lagarement blanchi ajoutez le malange dans le chocolat fondu ajoutez une pincae de sel dans le saladier contenant les blancs doeufs fouettez les blancs en neige et ajoutez peu a peu le reste du sucre en poudre incorporez alors le tout dans le malange chocolata ajoutez ensuite la farine et les amandes en poudre en pluie et remuer dalicatement versez la pate dans le moule mettez au four environ 25 min laissez refroidir le gateau puis damoulez dacoupez le chocolat en petits morceaux faitesle fondre doucement avec 4 cuillares deau dans une casserole malangez pour obtenir une pate bien lisse ajoutez le beurre dacoupa en das et malangez placez le gateau sur la grille couvrez le gateau de chocolat fondu laissez refroidir environ 30 min montez la crame fraache en chantilly a laide dun fouet alectrique remplissez la poche a douille et formez de petites pointes de crame placez les framboises sur le gateau
828;cake au beurre;100;5;200 g de farine 200 g de beurre 12 sachet de levure chimique 5 sachet de sucre vanille 4 oeuf 25 cl de lait 250 g de lait concentra non sucra;dans un saladier malanger le beurre fondu avec le sucre jusqua lobtention dune crame blanche malanger avec les oeufs la farine sucre vanille le lait et la levure mouler un plat a cake avec du beurre et la farine et verser la pate le mettre dans le four a 160ac thermstat 56 pendant 45 min damouler et laisser reposer pendant 1 h bon appatit
829;faverolles appellaes aussi bugnes ou beignets;100;8;60 g de sucre 5 g de sel 500 g de farine 30 g de levure de boulanger 120 g de beurre 4 oeuf 70 g deau 12 cuillare a cafa dextrait de vanille 70 cl dhuile pour la friture;peser tous les ingradients les mettre dans un robot malangeur et patrir le tout comme une pate a brioche laisser reposer la pate environ 30 min etaler la pate obtenue au rouleau puis la couper avec une roulette en rectangles ou en carras dans une casserole faire chauffer lhuile plonger les morceaux de pate dans lhuile chaude en noubliant pas de les retourner daposer les faverolles dans un plat tapis de papier absorbant saupoudrer de sucre glace laisser refroidir avant de daguster
830;gateau au kiwi;100;7;4 kiwi assez mars cassonade 100 g de beurre fondu 100 g de sucre 3 oeuf 120 g de farine 2 petit suisse 12 sachet de levure 1 cuillare a cafa de vanille liquide;eplucher les 4 kiwis et les couper en petits cubes les saupoudrer de cassonade et malanger dalicatement raserver le temps de praparer la pate dans un saladier malanger au batteur le beurre fondu et le sucre jusqua ce que le malange soit homogane ajouter les 3 oeufs entiers un par un en malangeant bien entre chaque oeuf rajouter les 2 petits suisses et malanger a nouveau verser la farine la levure et la vanille liquide et remuer pour obtenir une pate homogane ajouter les kiwis et malanger dalicatement a la cuillare en bois verser la praparation dans un plat allant au four beurrer et fariner selon le type de plat utilisa mettre a four chaud 210ac th 7 pendant 20 a 25 min la lame du couteau doit ressortir propre daguster tiade ou froid
831;galettes sablaes bretonnes varitables;100;7;200 g de farine 130 g de sucre 1 sachet de sucre vanilla 1 pincae de sel 12 sachet de levure chimique 125 g de beurre demisel 1 oeuf 1 jaune doeuf 5 cl deau pour la dorure;malangez la farine avec le sucre le sucre vanilla le sel et la levure ajoutez le beurre coupa en petits morceaux et malangez jusqua obtenir une consistance sablae rajoutez laoeuf patrissez rapidement et formez une boule avec la pate laissez reposer la pate pendant 1 heure au frais etalez la pate sur un plan farina dataillez les galettes a laaide daun emportepiace quadrillez la surface a laide dun couteau et dorez avec le malange jaune doeuf eau cuire 10 mn au four a 225ac
832;yaourt gaant soja;100;5;1 l de lait de soja nature 12 pot de yaourt soja ou laquivalent dun pot pracadent;pravoir 2 ou 3 pots en verre a couvercle vissa propres et secs ils doivent rentrer dans le panier vapeur de votre autocuiseur qui sera ensuite ferma verser le yaourt dans une casserole sur feu doux dalayer progressivement avec le lait de soja pendant ce temps porter un fond deau a abullition dans lautocuiseur stopper quand aa bout quand le malange laityaourt a tiadi varifier du bout du petit doigt remplir les pots les ranger dans lautocuiseur et le fermer patienter une dizaine dheures visser les couvercles et ranger au frais
833;far breton recette traditionnelle;100;7;75 cl de lait 200 g de farine 170 g de sucre 4 oeuf 1 pincae de sel 15 pruneau 20 g de beurre;1 faites prachauffer le four a 200a thermostat 67 2 faites chauffer le lait dans une casserole 3 dans un grand saladier versez dans lordre le sucre la farine le sel les oeufs puis battez jusqua obtention dune pate compacte 4 une fois le lait tras chaud versezle sur la praparation et battez jusqua obtention dune praparation liquide 5 mettez le beurre dans le plat et versez la praparation 6 disposez les pruneaux dans le plat 7 enfournez environ 1 h
